"user_id","movie_name","genre","rating"
4,"Michael","Biographical",5
20,"Michael","Biographical",5
5,"The Drama","Dark comedy",5
18,"The Drama","Dark comedy",5
3,"Spider-Man: Brand New Day","Superhero",5
5,"The Drama","Dark comedy",5
6,"Spider-Man: Brand New Day","Superhero",5
6,"Spider-Man: Brand New Day","Superhero",5
6,"Michael","Biographical",5
6,"Michael","Biographical",5
4,"Spider-Man: Brand New Day","Superhero",5
20,"The Drama","Dark comedy",5
8,"Obsession","Horror",5
8,"The Drama","Dark comedy",5
9,"Project Hail Mary","Science-Fiction",5
2,"The Devil Wears Prada 2","Drama",5
9,"Obsession","Horror",5
18,"Obsession","Horror",5
16,"The Drama","Dark comedy",5
8,"Obsession","Horror",5
8,"The Drama","Dark comedy",5
15,"The Sheep Detectives","Comedy",5
15,"Obsession","Horror",5
15,"Spider-Man: Brand New Day","Superhero",5
11,"Spider-Man: Brand New Day","Superhero",5
11,"Obsession","Horror",5
9,"Project Hail Mary","Science-Fiction",5
12,"Spider-Man: Brand New Day","Superhero",5
15,"Project Hail Mary","Science-Fiction",5
4,"Michael","Biographical",5
12,"The Sheep Detectives","Comedy",5
9,"Obsession","Horror",5
14,"Project Hail Mary","Science-Fiction",5
19,"Obsession","Horror",5
19,"Project Hail Mary","Science-Fiction",5
2,"Project Hail Mary","Science-Fiction",5
4,"Spider-Man: Brand New Day","Superhero",5
2,"Spider-Man: Brand New Day","Superhero",5
19,"The Sheep Detectives","Comedy",5
14,"The Drama","Dark comedy",4
2,"Obsession","Horror",4
3,"Toy Story 5","Animation",4
3,"Obsession","Horror",4
3,"Michael","Biographical",4
3,"The Sheep Detectives","Comedy",4
4,"Toy Story 5","Animation",4
4,"The Devil Wears Prada 2","Drama",4
4,"Obsession","Horror",4
5,"Project Hail Mary","Science-Fiction",4
5,"Toy Story 5","Animation",4
5,"The Sheep Detectives","Comedy",4
6,"Toy Story 5","Animation",4
7,"Project Hail Mary","Science-Fiction",4
7,"Obsession","Horror",4
7,"Michael","Biographical",4
9,"Spider-Man: Brand New Day","Superhero",4
4,"Toy Story 5","Animation",4
4,"The Devil Wears Prada 2","Drama",4
4,"Obsession","Horror",4
5,"Project Hail Mary","Science-Fiction",4
5,"Toy Story 5","Animation",4
5,"The Sheep Detectives","Comedy",4
6,"Toy Story 5","Animation",4
7,"Project Hail Mary","Science-Fiction",4
7,"Obsession","Horror",4
7,"Michael","Biographical",4
9,"Spider-Man: Brand New Day","Superhero",4
10,"Project Hail Mary","Science-Fiction",4
10,"Spider-Man: Brand New Day","Superhero",4
11,"The Drama","Dark comedy",4
12,"Obsession","Horror",4
13,"The Devil Wears Prada 2","Drama",4
14,"Spider-Man: Brand New Day","Superhero",4
14,"Obsession","Horror",4
14,"The Sheep Detectives","Comedy",4
15,"Toy Story 5","Animation",4
16,"Spider-Man: Brand New Day","Superhero",4
16,"The Sheep Detectives","Comedy",4
18,"Michael","Biographical",4
12,"The Devil Wears Prada 2","Drama",3
11,"Project Hail Mary","Science-Fiction",3
15,"The Devil Wears Prada 2","Drama",3
9,"The Sheep Detectives","Comedy",3
9,"Michael","Biographical",3
1,"The Drama","Dark comedy",3
5,"The Devil Wears Prada 2","Drama",3
10,"The Devil Wears Prada 2","Drama",3
15,"The Drama","Dark comedy",3
20,"Obsession","Horror",3
16,"The Devil Wears Prada 2","Drama",3
16,"Obsession","Horror",3
16,"Michael","Biographical",3
3,"The Drama","Dark comedy",3
9,"The Sheep Detectives","Comedy",3
9,"Michael","Biographical",3
3,"The Devil Wears Prada 2","Drama",3
5,"The Devil Wears Prada 2","Drama",3
14,"The Devil Wears Prada 2","Drama",3
10,"The Sheep Detectives","Comedy",2
16,"Toy Story 5","Animation",2
14,"Toy Story 5","Animation",2
16,"Project Hail Mary","Science-Fiction",2
